[03:07:03.842] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -5.88		 /		
[03:07:03.944] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -5.88		 /		
[03:07:04.046] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -5.88		 /		
[03:07:04.147] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -5.88		 /		
[03:07:04.248] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -5.88		 /		
[03:07:04.332] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -5.88		 /		
[03:07:04.434] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -6.28		 /		
[03:07:04.534] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -6.76		 /		
[03:07:04.635] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -7.08		 /		
[03:07:04.739] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -7.48		 /		
[03:07:04.844] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -7.8		 /		
[03:07:04.948] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -8.2		 /		
[03:07:05.049] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -8.6		 /		
[03:07:05.133] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -8.76		 /		
[03:07:05.238] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -8.76		 /		
[03:07:05.341] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -8.28		 /		
[03:07:05.442] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -7.88		 /		
[03:07:05.542] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -7.48		 /		
[03:07:05.643] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -7.08		 /		
[03:07:05.744] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -6.76		 /		
[03:07:05.845] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -6.36		 /		
[03:07:05.945] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -6.04		 /		
[03:07:06.045] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -5.64		 /		
[03:07:06.146] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -5.32		 /		
[03:07:06.248] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -4.92		 /		
[03:07:06.338] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -4.52		 /		
[03:07:06.440] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -4.2		 /		
[03:07:06.543] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -3.8		 /		
[03:07:06.645] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -3.48		 /		
[03:07:06.747] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -3.08		 /		
[03:07:06.849] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -2.76		 /		
[03:07:06.939] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -2.36		 /		
[03:07:07.041] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -2.279999		 /		
[03:07:07.141] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -2.279999		 /		
[03:07:07.242] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -2.279999		 /		
[03:07:07.342] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -2.279999		 /		
[03:07:07.444] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -2.279999		 /		
[03:07:07.544] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -2.279999		 /		
[03:07:07.645] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -2.279999		 /		
[03:07:07.746] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -2.76		 /		
[03:07:07.847] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -2.759999		 /		
[03:07:07.947] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -2.759999		 /		
[03:07:08.048] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -2.759999		 /		
[03:07:08.137] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -2.759999		 /		
[03:07:08.239] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -2.759999		 /		
[03:07:08.340] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -2.759999		 /		
[03:07:08.444] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -2.759999		 /		
[03:07:08.538] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -2.759999		 /		
[03:07:08.640] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -2.759999		 /		
[03:07:08.741] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -2.759999		 /		
[03:07:08.842] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -2.759999		 /		
[03:07:08.951] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -2.759999		 /		
[03:07:09.035] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -2.759999		 /		
[03:07:09.136] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -2.759999		 /		
[03:07:09.237] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -2.759999		 /		
[03:07:09.339] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -2.759999		 /		
[03:07:09.440] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -2.759999		 /		
[03:07:09.541] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -2.759999		 /		
